raceday,rank,country_code,name,team,time,discipline
Vuelta_al_Pais_Vasco_2017_Stage_6,117,uy,Fabricio_Ferrari,Caja_Rural_Seguros_RGA_2017,5:01,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,118,fr,Guillaume_Bonnafond,Cofidis,_Solutions_Credits_2017,5:07,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,119,hr,Robert_Kiserlovski,Team_Katusha_Alpecin_2017,5:12,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,120,kz,Nikita_Stalnov,Astana_Pro_Team_2017,5:25,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,121,us,Benjamin_King_1,Dimension_Data_2017,5:29,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,122,de,Michael_Schwarzmann,Bora_Hansgrohe_2017,5:33,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,123,es,Juan_Jose_Lobato,Team_LottoNL_Jumbo_2017,5:39,['One-day-races', 'Sprinter']
Vuelta_al_Pais_Vasco_2017_Stage_6,124,pl,Michal_Golas,Team_Sky_2017,5:40,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,125,fr,Yoann_Bagot,Cofidis,_Solutions_Credits_2017,5:51,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,126,au,Robert_Power,ORICA_Scott_2017,6:04,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,127,lv,Toms_Skujins,Cannondale_Drapac_Pro_Cycling_Team_2017,6:07,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,128,nl,Bert_Jan_Lindeman,Team_LottoNL_Jumbo_2017,6:10,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,129,it,Antonio_nibali,Bahrain_Merida_Pro_Cycling_Team_2017,6:17,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,es,Samuel_Sanchez,BMC_Racing_Team_2017,-,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,it,Enrico_Battaglin,Team_LottoNL_Jumbo_2017,-,['One-day-races', 'Sprinter']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,de,Paul_Martens,Team_LottoNL_Jumbo_2017,-,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,au,Rory_Sutherland,Movistar_Team_2017,-,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,au,Simon_Clarke,Cannondale_Drapac_Pro_Cycling_Team_2017,-,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,be,Dylan_Teuns,BMC_Racing_Team_2017,-,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,de,Simon_Geschke,Team_Sunweb_2017,-,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,be,Jelle_Vanendert,Lotto_Soudal_2017,-,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,DNS,de,Johannes_Frohlinger,Team_Sunweb_2017,-,['GC']
